Subject,Predicate,Object
Frida Kahlo : an open life,dcterm: title,Frida Kahlo : an open life
Frida Kahlo : an open life,dcterm: type,https://www.wikidata.org/wiki/Q571
Frida Kahlo : an open life,dcterm: created,1993
Frida Kahlo : an open life,Schema.org: Author,https://www.wikidata.org/wiki/Q6100511
Frida Kahlo : an open life,dcterm: isPartOf,https://viaf.org/viaf/307472291/
Frida Kahlo : an open life,Schema.org: publishedBy,https://www.worldcat.org/identities/lccn-no2002007460/
Frida Kahlo : an open life,dcterm: language,https://www.wikidata.org/wiki/Q1860
