Subject,Predicate,Object
Letter,dcterm: title,"Frida Kahlo, Paris, France letter to Nickolas Muray, New York, N.Y."
Letter,dcterm: type,Correspondence
Letter,dcterm: created,1939
Letter,CRM: P55 has current location,"Archives of American Art, Smithsonian Institution"
Letter,dcterm: language,English
Letter,Schema.org: Author,Nikolas Muray
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
