Subject,Predicate,Object
Museum,dcterm: title,Casa Azul
Museum,CRM 49: has former or curator,Mexican Government
Museum,dcterm: type,Art Museum
Museum,dcterm: created,1957
Museum,dcterm: creator,Carlos Pellicer
